dataset,model,ws,n_ahead,n_var,mae,mape,training_time
ws15_fh1_var1,LSTM,15,1,1,3.6072460147259067,11.295322326350979,11.139845514297486
ws15_fh1_var3,LSTM,15,1,3,3.8498488717985095,13.11505450530743,10.141218209266663
ws15_fh3_var1,LSTM,15,3,1,3.785709414785778,11.582495362939952,10.413385438919068
ws15_fh3_var3,LSTM,15,3,3,3.512398334426679,10.892662509196267,10.795510840415954
ws15_fh7_var1,LSTM,15,7,1,4.807440659668467,14.625450490582102,10.750764012336731
ws15_fh7_var3,LSTM,15,7,3,4.528236381761743,13.734718523363167,10.928849387168885
ws30_fh1_var1,LSTM,30,1,1,3.3548396472125432,10.424276520124298,11.494638228416443
ws30_fh1_var3,LSTM,30,1,3,3.512106832519863,11.61522992576681,11.188285613059998
ws30_fh3_var1,LSTM,30,3,1,3.7158688157456163,11.42022054942191,11.558710050582885
ws30_fh3_var3,LSTM,30,3,3,3.411684153049033,10.588448620704588,11.535689687728881
ws30_fh7_var1,LSTM,30,7,1,4.743692414527131,14.50395193101637,11.5851735830307
ws30_fh7_var3,LSTM,30,7,3,4.508118757473586,13.411825135689233,11.676684927940368
ws7_fh1_var1,LSTM,7,1,1,3.558734068816708,11.19698029103891,9.957157468795776
ws7_fh1_var3,LSTM,7,1,3,3.7486792632720904,12.801041347805377,9.75488040447235
ws7_fh3_var1,LSTM,7,3,1,3.6041919894101553,11.04978725401497,9.562318372726441
ws7_fh3_var3,LSTM,7,3,3,3.3703823224181404,10.578786023430677,9.809869527816772
ws7_fh7_var1,LSTM,7,7,1,4.508086068678514,13.737334207675062,9.89467532634735
ws7_fh7_var3,LSTM,7,7,3,4.362313784416835,13.274047614257196,10.097749161720277
