dataset,model,mae,mape
ws7_fh1_var1,CNN_1Var,1.4,4.31
ws7_fh1_var3,GRU_3Var,1.5,4.67
ws7_fh3_var1,GRU_1Var,3.2,10
ws7_fh3_var3,ANN_3Var,3.33,10.3
ws7_fh7_var1,ANN_1Var,5.38,16.7
ws7_fh7_var3,ANN_3Var,5.61,16.3
ws15_fh1_var1,CNN_1Var,1.43,4.4
ws15_fh1_var3,GRU_3Var,1.62,5.15
ws15_fh3_var1,CNN_1Var,3.24,10
ws15_fh3_var3,GRU_3Var,3.47,10.4
ws15_fh7_var1,CNN_1Var,5.77,17.3
ws15_fh7_var3,LSTM_3Var,5.61,15.9
ws30_fh1_var1,GRU_1Var,1.52,4.57
ws30_fh1_var3,GRU_3Var,1.56,4.9
ws30_fh3_var1,GRU_1Var,3.42,10.7
ws30_fh3_var3,TCN_3Var,3.58,10.8
ws30_fh7_var1,CNN_1Var,5.5,17.1
ws30_fh7_var3,ANN_3Var,5.79,18.8
