dataset,ws,model,n_ahead,n_var,trainable_params,non_trainable_params,total_params
ws7_fh1_var1,7,TKAN,1,1,2267,150,2417
ws7_fh1_var3,7,TKAN,1,3,2345,150,2495
ws7_fh3_var1,7,TKAN,3,1,11735,300,12035
ws7_fh3_var3,7,TKAN,3,3,11987,300,12287
ws7_fh7_var1,7,TKAN,7,1,28791,400,29191
ws7_fh7_var3,7,TKAN,7,3,29255,400,29655
ws15_fh1_var1,15,TKAN,1,1,2267,150,2417
ws15_fh1_var3,15,TKAN,1,3,2345,150,2495
ws15_fh3_var1,15,TKAN,3,1,11735,300,12035
ws15_fh3_var3,15,TKAN,3,3,11987,300,12287
ws15_fh7_var1,15,TKAN,7,1,28791,400,29191
ws15_fh7_var3,15,TKAN,7,3,29255,400,29655
ws30_fh1_var1,30,TKAN,1,1,2267,150,2417
ws30_fh1_var3,30,TKAN,1,3,2345,150,2495
ws30_fh3_var1,30,TKAN,3,1,11735,300,12035
ws30_fh3_var3,30,TKAN,3,3,11987,300,12287
ws30_fh7_var1,30,TKAN,7,1,28791,400,29191
ws30_fh7_var3,30,TKAN,7,3,29255,400,29655
